OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
ADSUFZBNRIJHHG-DNKSNICWSA-N,C[C@H]1NC(=O)[C@@H]2CC3=CC=CC=C3[C@H]1N2C(=O)C1=CN(C)C(=O)C2=C1C1=CC(OC(F)(F)F)=CC=C1N2,3.4
ADTAYZYOXMLYGV-UHFFFAOYSA-N,CNC(=O)C(C)N(CC(C1=CC=CC=C1)C1=CC=NC=C1)C(=O)C1=CN(C)C(=O)C(C)=C1,1.7
ADTJKKLWHRZXAH-OSRPPQEKSA-N,CS/C(=N\CCCCC(NC(=O)C(CC1=CC=CC2=CC=CC=C12)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC(C)C)[C@@H](O)CC(=O)N1CCOC(CCN)C1)NC#N,4.67
ADUIVTWDTGQPAI-RTBURBONSA-N,CC1=NN(C)C=C1NC(=O)[C@@H]1CCCC[C@H]1C(=O)C1=CC=C(C2=CC=CN2)C=C1,3.1
ADUKCCWBEDSMEB-NSHDSACASA-N,CC(C)NC[C@H](O)COC1=CC=C(O)C=C1,-1.61
ADXCIGXMTGZCKB-UHFFFAOYSA-N,CN1N=CC(NCC2=CC=C(F)C=C2)=C(Cl)C1=O,3.3
ADXGNEYLLLSOAR-UHFFFAOYSA-N,CC1=NC(C)=C2CCC(=O)N(CC3=CC=C(C4=CC=CC=C4C4=NNN=N4)C=C3)C2=N1,0.49
ADYNECCIEYQKPA-UHFFFAOYSA-N,NC1=CC=C(CN2C(=O)NC3=C(N)N=C(C(F)(F)F)C=C32)C=N1,1.5
ADZPIXYXMCPJLG-OAQYLSRUSA-N,CC(C)(O)C#CC#CC1=CC=C2C(=O)N(CC[C@](C)(C(O)=NO)S(C)(=O)=O)CC2=C1,1.2
AEAAWYAOKSGZEQ-IBGZPJMESA-N,CCCCCCCCCCCCNC(=O)[C@H](CC1=CNC=N1)NC(=O)CCN,0.93
AEAKSVDSAHEHPK-UHFFFAOYSA-N,CNC(=O)C1=CC(NC2=CC=CC(F)=C2)=CC(C2=CC=NC(NC(=O)C3CCOCC3)=C2)=C1,3.9
AEASBNXMBGMIRQ-UKTHLTGXSA-N,CC(C)N(C)CC1=NC=CN1C1=CC=C(N2CCC(NS(=O)(=O)/C=C/C3=CC=C(Cl)S3)C2=O)C(F)=C1,2.7
AEBGAQZHEWUQER-UHFFFAOYSA-N,CN1C=C(C2=CN=C3C=CC(NC(=O)NCCC4=CC=CC=C4)=NC3=C2)C=N1,2.3
AEBVXDRUAUWPIF-SFHVURJKSA-N,CN1C[C@H](NC(=O)C2=NOC(CC3=CC=CC=C3)=C2)C(=O)N(C)C2=CC=CC=C21,6.0
AEDCJFPKFVWIEF-UHFFFAOYSA-N,CSC1=CN2C=C(C3=CC=C(N)C=C3)N=C2C=C1,2.6
AEDHNADVBFHARN-UHFFFAOYSA-N,CC1=NC2=NC(C(C)(F)F)=NN2C(NC2CC3=CC=CC(F)=C3C2)=C1,3.3
AEEKDQDRCGMGMV-UHFFFAOYSA-N,CC(C)N1CC2(CCN(CC(O)C3COC4=CC=CC=C4O3)CC2)OC1=O,2.05
AEFDEBZDCRUDJJ-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=CC=C1S(=O)(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1,4.0
AEFFENQISAXIKE-UHFFFAOYSA-N,CC1=NC2=C(F)C=C(C3=NC(NC4=CC=C(C5CCN(C)CC5)C=N4)=NC=C3F)C=C2C12CCCC2,3.49
AEHPWMMKXBQIPR-UHFFFAOYSA-N,ClC1=CC=C2C(NCCCNC3=NC=CC(N4CCCCC4)=N3)=CC=NC2=C1,0.845
AEIFKRCHCBVECG-UHFFFAOYSA-N,O=C(O)C1=CC(C2=CC=C(C3CC4CCC(C3)N4)C=C2)=C2C=CC(C3=CC=C(C(F)(F)F)C=C3)=CC2=C1,2.3
AEJAJASTRCTUIL-FLASPHMUSA-N,CCOC1=CC=C(CN(C)C)C=C1NC(=O)[C@H](NC(=O)N1CCN(C2=CC=C(F)C=C2C)C(=O)C1)[C@@H](C)C1=CNC2=CC=CC=C12,1.86
AELCINSCMGFISI-RKDXNWHRSA-N,N[C@@H]1C[C@@H]1C1=CC=CC=C1,1.41
AENHXIGVBHNYQY-UHFFFAOYSA-N,CN(C)CC1=NC2=NC(C3=CC=C(F)C=C3)=C(C3=CC=NC(N)=N3)N2C=C1,2.1
